id;authors;title;link;found_in
B01;['Alexey E. Gulov', 'Andrey V. Koksharov', 'Ilia I. Livshitz', 'Nataly P. Lontsikh', 'Pawel A. Lontsikh'];Project Management in the Website UX / UI Development: System-Oriented Analysis and Business Process Management Principles;https://ieeexplore-1ieee-1org-1do9q3jhp589a.han3.uci.umk.pl/document/9642927;IEEE Xplore
B02;['Helene Sofie Borthen Stenstadvold'];Mingle A Framework for Project Management in User Experience Design;https://bora.uib.no/bora-xmlui/bitstream/handle/11250/2761759/Mingle---A-Framework-for-Project-Management-in-User-Experience-Design---Helene-Stenstadvold-June-2021.pdf?sequence=1;Google Scholar
B03;['William Hart-Davidson'];The Turn to Learning: A View of UX Project Management as Organizational Learning Practice;https://www.igi-global.com/gateway/article/142960;BASE
B04;['Marcin Sikorski'];Interaction Design in Agile IT Projects;https://zenodo.org/record/5810704#.YvPz0mNBy3A;BASE
B05;['Anders Bruun', 'Lars Bo Larsen', 'Marta Kristin Larusdottir', 'Lene Nielsen', 'Peter Axel Nielsen', 'John Stouby Persson'];UX in Agile Before and During Development;https://pure.itu.dk/portal/files/83578993/UX_in_Agile_before_and_during_development.pdf;BASE
B06;['Brian Wood'];Freelance UX: Managing Projects;https://www.worldcat.org/title/freelance-ux-managing-projects/oclc/1137589680&referer=brief_results;ScienceResearch
B07;['Amanda Stockwell'];UX Research for Agile Teams;https://www.worldcat.org/title/ux-research-for-agile-teams/oclc/1137465893&referer=brief_results;WorldCat
B08;['Manal M. Alhammad', 'Ana M. Moreno'];Integrating User Experience into Agile : An Experience Report on Lean UX and Scrum;https://ieeexplore.ieee.org/document/9794220;IEEE Xplore
B09;['Narendren Pillay', 'Jeanette Wing'];Agile UX: Integrating good UX development practices in Agile;https://ieeexplore-1ieee-1org-1do9q3jhp5e1f.han3.uci.umk.pl/document/8703607;IEEE Xplore
B10;['Pyla Pardha', 'Hartson Rex'];Agile Lifecycle Processes and the Funnel Model of Agile UX;https://doi.org/10.1016/B978-0-12-805342-3.00004-7;BASE
B11;['Eva-Maria Beautiful', 'Indra Burkart'];Agile UX in continuous product development;https://dl.gi.de/handle/20.500.12116/24495;BASE
B12;['Rainer Gibbert', 'Thomas Memmel', 'Hartmut Obendorf', 'Inken Petersen'];Agile UX â€“ Wege zur agilen nutzerzentrierten Entwicklung (ang. Agile UX. Paths to agile user-centered development â€“ an introduction.);https://dl.gi.de/handle/20.500.12116/6079;BASE
B13;['Anders Bruun', 'Lars Bo Larsen', 'Marta Kristin Larusdottir', 'Lene Nielsen', 'Peter Axel Nielsen', 'John Stouby Persson'];The role of UX professionals in agile development: a case study from industry;https://dl.acm.org/doi/10.1145/3240167.3240213;BASE
B14;['Andreas Hinderks'];A Lifecycle for User Experience Management in Agile Development;https://idus.us.es/handle//11441/128271;BASE
B15;['Ã…sa Cajander', 'Jan Gulliksen', 'Marta KristÃ\xadn LÃ¡rusdÃ³ttir'];The Big Picture of UX is Missing in Scrum Projects;http://ceur-ws.org/Vol-922/paper9.pdf;BASE
B16;['Yun-Han Huang'];Understanding the Collaboration Difficulties Between UX Designers and Developers in Agile Environments;https://docs.lib.purdue.edu/dissertations/AAI10831542/;BASE
B17;['Nora Khaled AlGhanmi', 'Nor Shahida Mohd Jamail'];Integrating Scrum development process with UX design flow;https://doi.org/10.5281/zenodo.4381090;BASE
B18;['Terry Coatta', 'Julian Gosper'];UX Design and Agile: A Natural Fit?: A user experience designer and a software engineer from SAP discuss the challenges of collaborating on a business-intelligence query tool.;https://dl.acm.org/doi/10.1145/1874534.1891739;BASE
B19;['Sesaria Kikitamara', 'Anastasia Ary Noviyanti'];A Conceptual Model of User Experience in Scrum Practice;https://ieeexplore.ieee.org/document/8534905;IEEE Xplore
B20;['Jeff Gothelf', 'Douglas Martin', 'Josh Seiden'];Lean UX: designing great products with Agile teams;https://www.worldcat.org/title/lean-ux-designing-great-products-with-agile-teams/oclc/1313529808&referer=brief_results;WorldCat
W01;['Ana Zdravic'];The Pareto Principle and Your User Experience Work;https://www.interaction-design.org/literature/article/the-pareto-principle-and-your-user-experience-work;Google
W02;['Teo Yu Siang'];How to Change Your Career from Graphic Design to UX Design;https://www.interaction-design.org/literature/article/how-to-change-your-career-from-graphic-design-to-ux-design;Google
W03;['Jeff Sauro'];Applying the Pareto Principle to the User Experience;https://www.interaction-design.org/literature/article/how-to-change-your-career-from-graphic-design-to-ux-design;Bing
W04;['Richard Trigg'];THE ESSENTIAL ROLE OF PROJECT MANAGEMENT IN UX;https://www.webdesignerdepot.com/2016/07/the-essential-role-of-project-management-in-ux/;Bing
W05;['Kristina Kushner'];Are UX and UI important in Project Management?;https://medium.com/crizper/are-ux-and-ui-important-in-project-management-b4c01e3d6c76;Bing
W06;['Mary Shaw'];Project Management for UX Designers;https://maryshaw.net/ux-project-management/;Bing
W07;['Alipta Ballav'];Should UX and Project Management merge?;https://uxplanet.org/should-ux-and-product-management-merge-ca6a943058ad;Bing
W08;['Debbie Levitt'];Agile UX: How to Incorporate UX and Product Design into Agile;https://www.toptal.com/product-managers/agile/agile-ux-design-explained;DuckDuckGo
W09;['Paul Boag'];UX in Agile: How to Ensure UX and Agile Work Successfully Together;https://boagworld.com/digital-strategy/ux-in-agile/;Bing
W10;['Eric Olive'];Agile UX Success;https://uiuxtraining.com/2019/03/12/agile-ux-success/;Bing
W11;['Nina Smit'];Reasons why being a Scrum Master will make you a better UX designer;https://medium.com/serious-scrum/reasons-why-being-a-scrum-master-will-make-you-a-better-ux-designer-9e8a80e6cc16;DuckDuckGo
W12;['Nick Groeneveld'];The Ultimate Scrum Guide for UX Designers;https://www.thedesignerstoolbox.com/learn-ux/the-ultimate-scrum-guide-for-ux-designers/;DuckDuckGo
W13;['Alex Ballarin'];How to increase the UX maturity of Scrum teams;https://uxdesign.cc/how-to-increase-ux-design-maturity-for-scrum-teams-d26b4311eaa9;DuckDuckGo
W14;['Jeff Gothelf'];Lean UX Canvas V2;https://jeffgothelf.com/blog/leanuxcanvas-v2/;DuckDuckGo
W15;['Dragan Kovacevic'];UX Designers Hate Scrum for a Reason;https://www.kovacevic.io/ux-designers-hate-scrum-for-a-reason.html;DuckDuckGo
W16;['Jakub Drzazga'];Scrum + UX to poÅ‚Ä…czenie doskonaÅ‚e!;https://strefapmi.pl/strefa-wiedzy/scrum-ux-to-polaczenie-doskonale;Bing
